Standardized_Date,RAW WATER FLOW IN ML,CLEAR WATER SUMP LEVEL IN Meter,CLEAR WATER PUMPING FLOW ML,TREATED WATER PRODUCTION IN ML,remarks category,Avg_Consumption (kWh),Energy Charge,Units_kWh,Year,Month,Month-Year
2021-12-31,1998.05968,2.9009543010752687,1738.985111,1933.72226,['No remarks'],264227.0,1802752.4,284352.0,2021,12,12-2021
2022-01-31,1928.27685,2.7138037634408603,1669.968356,1866.18642,"['No remarks' 'WTP cleaning' 'energy auditing' 'Power Failure at Intake'
 'Power Failure at WTP']",270707.0,1814811.0,278984.0,2022,1,01-2022
2022-02-28,1832.749031,2.8001636904761904,1577.52211,1773.7316600000001,"['No remarks' 'maintanance at intake' 'Power Failure at WTP'
 'Power Failure at intake and WTP' 'Power Failure at Intake']",272721.0,1729563.8,271048.0,2022,2,02-2022
2022-03-31,2169.4054,2.831720430107527,1860.290835,2099.55152,['No remarks' 'Power Failure at Intake'],277393.0,1888178.05,298664.0,2022,3,03-2022
2022-04-30,1943.862463,2.7694444444444444,1699.23306,1881.27259,"['No remarks' 'Power Failure at Intake' 'Power Failure at intake and WTP'
 'Power Failure at WTP' 'maintanance at Thaliparamba'
 'maintanance at intake']",281749.0,1890310.4,299392.0,2022,4,04-2022
2022-05-31,2016.6144100000001,2.8572715053763442,1757.84088,1951.6985,"['No remarks' 'Power Failure at WTP' 'Power Failure at Intake'
 'Power Failure at intake and WTP']",282532.0,1681677.4,262752.0,2022,5,05-2022
2022-06-30,1814.87637,2.6918055555555553,1606.90324,1756.4325800000001,"['No remarks' 'Power Failure at intake and WTP' 'Power Failure at Intake'
 'pipe line broken at thaliparamba' 'Power Failure at WTP']",242923.0,1670442.48,256808.0,2022,6,06-2022
2022-07-31,1599.65868,2.793534946236559,1404.36223,1548.14783,['No remarks' 'intake sump level low' 'Power Failure at Intake'],234395.0,1586531.05,227816.0,2022,7,07-2022
2022-08-31,1752.93307,2.8402688172043007,1520.86568,1696.48715,"['No remarks' 'Power Failure at intake and WTP' 'intake cleaning'
 'under voltage']",230045.0,1683641.02,244952.0,2022,8,08-2022
2022-09-30,1910.0590200000001,2.8364166666666666,1669.90655,1848.54376,['No remarks' 'intake cleaning'],225967.0,1865490.92,274192.0,2022,9,09-2022
2022-10-31,2202.32376,2.947755376344086,1906.80058,2131.40631,['No remarks' 'intake cleaning'],226848.0,2046339.3,304680.0,2022,10,10-2022
2022-11-30,2121.87666,2.924958333333333,1841.0232,2053.54676,['No remarks'],233447.0,2034493.94,302344.0,2022,11,11-2022
2022-12-31,2271.7397300000002,2.98119623655914,1967.66375,2198.58982,['No remarks' 'voltage fluctation at intake'],279913.0,2178204.46,325496.0,2022,12,12-2022
2023-01-31,2237.7112970000003,3.052190860215054,1924.1724000000002,2165.67085,['No remarks' 'Power Failure at Intake'],291908.0,2016608.34,299784.0,2023,1,01-2023
2023-02-28,2057.46031,2.96671130952381,1765.5746530000001,1991.19521,"['No remarks' 'Power Failure at intake and WTP'
 'distribution line maintanance']",298419.0,1989731.04,284016.0,2023,2,02-2023
2023-03-31,2310.71369,3.0343682795698927,1990.51829,2236.30928,['No remarks'],307143.0,2276167.98,326536.0,2023,3,03-2023
2023-04-30,2392.954534,2.909680555555555,2058.04472,2315.87396,['No remarks' 'maintanance'],315603.0,2505844.2,355440.0,2023,4,04-2023
2023-05-31,2451.28689,3.073938172043011,2119.0287240000002,2372.3677900000002,"['No remarks' 'maintanance at Thaliparamba'
 'Power Failure at intake and WTP']",321336.0,2431001.82,336744.0,2023,5,05-2023
2023-06-30,2406.0766,3.149027777777778,2121.06453,2328.60003,['No remarks' 'Power Failure at intake and WTP'],,,,2023,6,06-2023
2023-07-31,2068.24778,2.9395564516129036,1903.2631800000001,2001.64865,"['No remarks' 'channel cieaning' 'intake cleaning'
 'Power Failure at Intake' 'inlet chamber cleaning']",325344.0,2265936.14,312488.0,2023,7,07-2023
2023-08-31,2349.926378,3.101962365591398,2168.18201,2274.2584,['No remarks' 'maintanance' 'Power Failure at Intake'],339313.0,2634793.46,367832.0,2023,8,08-2023
2023-09-30,2262.665739,3.0105,2077.52936,2189.75822,['No remarks' 'distribution line maintanance'],,,,2023,9,09-2023
2023-10-31,2130.573364,3.0453629032258065,1973.34258,2061.99773,['No remarks' 'distribution line maintanance'],333697.0,2172027.52,297184.0,2023,10,10-2023
2023-11-30,2230.98785,3.063097222222222,2042.05886,2159.14098786,['No remarks'],334636.0,2495518.55,342376.0,2023,11,11-2023
2023-12-31,2395.03298,3.0034139784946237,2296.823382,2317.88996,['No remarks' 'complaint at WTP'],341571.0,2724182.9,378448.0,2023,12,12-2023
2024-01-31,2254.91557,2.731317204301075,2036.18018,2182.3071800000002,"['No remarks' 'maintanance' 'intake pumping stopped'
 'Power Failure at Intake']",345661.0,2506021.02,337032.0,2024,1,01-2024
2024-02-29,2404.158071,2.9303879310344825,2167.673658,2326.74138,['No remarks' 'maintanance at intake'],344175.0,2652015.32,358912.0,2024,2,02-2024
2024-03-31,2586.259865,3.011787634408602,2299.18998,2502.97958,['No remarks'],348948.0,2735819.05,379736.0,2024,3,03-2024
2024-04-30,2362.253483,2.9560138888888887,2136.454676,2286.18044475,['No remarks' 'Power Failure at Intake'],359273.0,2614601.23,359136.0,2024,4,04-2024
2024-05-31,2486.204442,3.0829032258064513,2283.0273,2406.14594,['No remarks' 'Power Failure at Intake' 'Power Failure at intake and WTP'],357902.0,2586331.45,354696.0,2024,5,05-2024
